fighter1,fighter2,event,fight_outcome,origin_fight_url,fighter1_Weight,fighter1_Reach,fighter1_Stance,fighter1_SLpM,fighter1_StrAcc,fighter1_SApM,fighter1_StrDef,fighter1_TDAvg,fighter1_TDAcc,fighter1_TDDef,fighter1_SubAvg,fighter2_Weight,fighter2_Reach,fighter2_Stance,fighter2_SLpM,fighter2_StrAcc,fighter2_SApM,fighter2_StrDef,fighter2_TDAvg,fighter2_TDAcc,fighter2_TDDef,fighter2_SubAvg,fighter1_Wins,fighter1_Losses,fighter1_Draws,fighter2_Wins,fighter2_Losses,fighter2_Draws,fighter1_Height_in,fighter2_Height_in,fighter1_Age,fighter2_Age
Anthony Smith,Aleksandar Rakic,UFC Fight Night: Smith vs. Rakic,fighter2,http://ufcstats.com/fight-details/1ff4586752ee8a93,205.0,76,Orthodox,3.2,49,4.88,45,0.44,23,50,0.6,205.0,78,Orthodox,4.16,50,2.91,51,0.66,23,85,0.1,38,21,0,14,5,0,76.0,76.0,36.0,33.0
Cole Smith,Hunter Azure,UFC Fight Night: Overeem vs. Sakai,fighter2,http://ufcstats.com/fight-details/7340b4cbdbac5863,135.0,67,Orthodox,1.78,35,1.96,49,1.67,33,45,1.7,145.0,69,Orthodox,3.92,53,2.08,58,1.97,34,67,1.3,7,2,0,9,2,0,71.0,68.0,35.0,33.0
Viviane Araujo,Montana De La Rosa,UFC Fight Night: Overeem vs. Sakai,fighter1,http://ufcstats.com/fight-details/7930c605c6a6ec88,125.0,68,Orthodox,4.04,47,4.87,56,1.86,43,80,0.7,125.0,68,Orthodox,2.9,37,3.39,45,1.85,33,68,0.8,13,6,0,13,9,1,64.0,67.0,38.0,30.0
Ricardo Lamas,Bill Algeo,UFC Fight Night: Smith vs. Rakic,fighter1,http://ufcstats.com/fight-details/3a8e4b830750e9d4,145.0,71,Orthodox,3.13,47,2.87,57,1.84,33,46,0.9,145.0,73,Switch,5.88,51,4.38,47,1.03,50,55,0.1,20,8,0,18,9,0,68.0,72.0,42.0,35.0
Andre Muniz,Bartosz Fabinski,UFC Fight Night: Overeem vs. Sakai,fighter1,http://ufcstats.com/fight-details/e8206c7380441fbb,185.0,78,Southpaw,1.97,50,1.99,54,4.23,50,35,1.2,170.0,75,Orthodox,2.23,68,1.46,51,7.1,70,80,0.0,24,6,0,15,5,0,73.0,72.0,35.0,38.0
Michel Pereira,Zelim Imadaev,UFC Fight Night: Overeem vs. Sakai,fighter1,http://ufcstats.com/fight-details/0f279b25ccbecc76,185.0,73,Orthodox,4.46,53,4.23,52,1.27,52,76,0.8,170.0,76,Orthodox,2.91,36,4.35,43,0.38,50,60,0.0,31,12,0,8,3,0,73.0,72.0,31.0,30.0
Alistair Overeem,Augusto Sakai,UFC Fight Night: Overeem vs. Sakai,fighter1,http://ufcstats.com/fight-details/24341a8cf1152c5c,265.0,80,Orthodox,3.67,64,2.44,57,1.42,55,73,0.8,265.0,77,Orthodox,4.6,49,3.83,48,0.23,40,56,0.0,47,19,0,16,5,1,76.0,75.0,44.0,33.0
Brian Kelleher,Ray Rodriguez,UFC Fight Night: Overeem vs. Sakai,fighter1,http://ufcstats.com/fight-details/7595aabe89020780,135.0,66,Switch,3.31,41,4.59,54,1.68,41,60,0.7,135.0,70,Orthodox,0.9,27,3.89,40,1.42,50,44,0.0,24,16,0,16,8,0,66.0,67.0,38.0,37.0
Ovince Saint Preux,Alonzo Menifield,UFC Fight Night: Overeem vs. Sakai,fighter1,http://ufcstats.com/fight-details/0e809b7e37681783,205.0,80,Southpaw,3.03,47,3.33,47,1.09,36,67,0.5,205.0,76,Orthodox,4.0,55,3.92,49,0.56,31,78,0.2,27,18,0,16,5,1,75.0,72.0,41.0,37.0
Amanda Lemos,Mizuki,UFC Fight Night: Munhoz vs. Edgar,fighter1,http://ufcstats.com/fight-details/0a3e48cdd97267f4,115.0,65,Southpaw,3.16,54,3.87,44,0.9,63,61,0.8,115.0,65,Orthodox,4.56,50,5.62,48,0.33,14,85,0.0,14,4,1,15,6,0,64.0,63.0,37.0,30.0
Carlton Minus,Matthew Semelsberger,UFC Fight Night: Munhoz vs. Edgar,fighter2,http://ufcstats.com/fight-details/949619e1b1de9e5f,170.0,75,Orthodox,3.5,40,4.97,50,0.0,0,58,0.0,170.0,75,Switch,3.77,42,4.24,54,1.01,57,45,0.4,10,3,0,11,8,0,70.0,73.0,31.0,32.0
Daniel Rodriguez,Dwight Grant,UFC Fight Night: Munhoz vs. Edgar,fighter1,http://ufcstats.com/fight-details/cfa0dbc7534f3545,170.0,74,Southpaw,7.5,49,5.47,58,0.59,54,57,0.1,185.0,76,Switch,3.29,36,2.66,60,0.61,100,66,0.0,18,5,0,11,6,0,73.0,73.0,38.0,40.0
Austin Hubbard,Joe Solecki,UFC Fight Night: Munhoz vs. Edgar,fighter2,http://ufcstats.com/fight-details/23e548f618dd0e5f,155.0,71,Orthodox,4.12,43,3.92,57,1.54,34,67,0.0,155.0,70,Orthodox,1.97,53,1.85,50,2.06,48,14,1.4,17,8,0,13,6,0,70.0,69.0,33.0,31.0
Ike Villanueva,Jordan Wright,UFC Fight Night: Munhoz vs. Edgar,fighter2,http://ufcstats.com/fight-details/0ccc86f7d0e84c3e,205.0,73,Orthodox,3.66,38,7.24,36,0.6,50,100,0.0,205.0,77,Orthodox,4.1,56,6.03,31,2.09,45,100,0.4,18,14,0,12,5,0,73.0,74.0,40.0,33.0
Gavin Tucker,Justin Jaynes,UFC Fight Night: Lewis vs. Oleinik,fighter1,http://ufcstats.com/fight-details/1308213458d8596b,145.0,66,Southpaw,4.29,44,4.18,57,3.13,44,53,1.5,145.0,68,Orthodox,3.34,44,5.33,62,0.75,40,20,1.1,13,3,0,16,8,0,66.0,67.0,38.0,35.0
