fighter1,fighter2,event,fight_outcome,origin_fight_url,fighter1_Name,fighter1_Nickname,fighter1_Record,fighter1_Height,fighter1_Weight,fighter1_Reach,fighter1_Stance,fighter1_DOB,fighter1_SLpM,fighter1_StrAcc,fighter1_SApM,fighter1_StrDef,fighter1_TDAvg,fighter1_TDAcc,fighter1_TDDef,fighter1_SubAvg,fighter2_Name,fighter2_Nickname,fighter2_Record,fighter2_Height,fighter2_Weight,fighter2_Reach,fighter2_Stance,fighter2_DOB,fighter2_SLpM,fighter2_StrAcc,fighter2_SApM,fighter2_StrDef,fighter2_TDAvg,fighter2_TDAcc,fighter2_TDDef,fighter2_SubAvg
Patrick Cote,Ricardo Almeida,UFC 86: Jackson vs Griffin,fighter1,http://ufcstats.com/fight-details/6760e48a36571feb,Patrick Cote,The Predator,Record: 23-11-0,"5' 11""",170 lbs.,"75""",Orthodox,"Feb 29, 1980",2.81,48%,3.21,48%,0.68,20%,43%,0.2,Ricardo Almeida,Big Dog,Record: 13-5-0,"6' 0""",170 lbs.,"74""",Orthodox,"Nov 29, 1976",2.02,49%,1.20,61%,3.74,38%,31%,1.2
Rob Kimmons,Joe Vedepo,UFC Fight Night: Condit vs Kampmann,fighter1,http://ufcstats.com/fight-details/a561360edf66ee6f,Rob Kimmons,The Rosedale Reaper,Record: 25-9-0,"5' 10""",185 lbs.,"73""",Orthodox,"Jan 30, 1981",1.86,48%,4.79,38%,2.08,46%,25%,2.4,Joe Vedepo,The Doctor,Record: 18-9-0,"6' 0""",185 lbs.,--,Orthodox,--,1.43,42%,5.71,38%,1.07,20%,0%,0.0
Tim Credeur,Nick Catone,UFC Fight Night: Condit vs Kampmann,fighter1,http://ufcstats.com/fight-details/c642640db89fb033,Tim Credeur,,Record: 12-4-0,"6' 3""",185 lbs.,"75""",Orthodox,"Jul 09, 1977",3.59,30%,3.13,57%,0.41,100%,50%,3.3,Nick Catone,The Jersey Devil,Record: 10-4-0,"6' 0""",185 lbs.,"72""",Southpaw,"Sep 01, 1981",2.11,44%,2.32,63%,3.71,44%,83%,0.5
Aaron Simpson,Tim McKenzie,UFC Fight Night: Condit vs Kampmann,fighter1,http://ufcstats.com/fight-details/ddc233f8ca7c05aa,Aaron Simpson,A-Train,Record: 12-5-0,"6' 0""",170 lbs.,"73""",Orthodox,"Jul 20, 1974",3.60,52%,2.53,56%,3.78,34%,83%,0.5,Tim McKenzie,,Record: 14-9-0,"6' 0""",185 lbs.,"74""",Orthodox,"Jul 21, 1982",1.37,54%,2.96,44%,0.00,0%,28%,2.1
Paul Kelly,Rolando Delgado,UFC 99: The Comeback,fighter1,http://ufcstats.com/fight-details/cd45a78028039f53,Paul Kelly,,Record: 14-5-0,"5' 9""",155 lbs.,"70""",Orthodox,"Sep 12, 1984",3.22,37%,2.61,59%,1.34,60%,30%,1.5,Rolando Delgado,Roli,Record: 11-6-1,"6' 3""",155 lbs.,"77""",Orthodox,"Nov 22, 1981",1.56,40%,1.83,62%,1.17,22%,0%,3.5
Stefan Struve,Denis Stojnic,UFC 99: The Comeback,fighter1,http://ufcstats.com/fight-details/440936f9db783997,Stefan Struve,Skyscraper,Record: 33-13-0,"6' 11""",265 lbs.,"84""",Orthodox,"Feb 18, 1988",3.12,47%,4.04,46%,0.56,46%,55%,1.7,Denis Stojnic,,Record: 13-3-0 (1 NC),"6' 0""",245 lbs.,--,Orthodox,"Feb 02, 1980",1.51,23%,6.06,36%,0.00,0%,80%,1.0
Jorge Rivera,Nissen Osterneck,UFC Fight Night: Condit vs Kampmann,fighter1,http://ufcstats.com/fight-details/4cffb137402f7bb0,Jorge Rivera,El Conquistador,Record: 20-9-0,"6' 1""",185 lbs.,"73""",Orthodox,"Feb 28, 1972",3.16,48%,2.64,54%,0.84,50%,63%,0.1,Nissen Osterneck,,Record: 12-4-0,"6' 2""",185 lbs.,--,Orthodox,"May 01, 1981",3.15,58%,2.90,41%,0.63,12%,42%,1.3
Evan Dunham,Marcus Aurelio,UFC 102: Couture vs Nogueira,fighter1,http://ufcstats.com/fight-details/b0958ed411ae9675,Evan Dunham,,Record: 18-9-1,"5' 10""",155 lbs.,"70""",Southpaw,"Dec 18, 1981",5.33,39%,3.54,61%,1.82,33%,79%,1.0,Marcus Aurelio,Maximus,Record: 22-10-0,"5' 10""",155 lbs.,"74""",Orthodox,"Aug 18, 1973",1.42,33%,2.27,59%,1.69,27%,27%,1.3
Mark Munoz,Nick Catone,UFC 102: Couture vs Nogueira,fighter1,http://ufcstats.com/fight-details/fd292c2a587bb2f5,Mark Munoz,The Filipino Wrecking Machine,Record: 14-6-0,"6' 0""",185 lbs.,"71""",Orthodox,"Feb 09, 1978",3.12,51%,2.26,57%,3.17,29%,57%,0.6,Nick Catone,The Jersey Devil,Record: 10-4-0,"6' 0""",185 lbs.,"72""",Southpaw,"Sep 01, 1981",2.11,44%,2.32,63%,3.71,44%,83%,0.5
Paul Taylor,Peter Sobotta,UFC 99: The Comeback,fighter1,http://ufcstats.com/fight-details/83314e1ed6f7d94e,Paul Taylor,Relentless,Record: 11-6-1 (1 NC),"6' 0""",155 lbs.,"72""",Orthodox,"Dec 15, 1979",4.44,47%,4.47,55%,0.27,25%,56%,0.5,Peter Sobotta,,Record: 17-7-1,"6' 0""",170 lbs.,"75""",Southpaw,"Jan 11, 1987",2.14,40%,2.90,58%,1.53,32%,77%,0.5
John Hathaway,Rick Story,UFC 99: The Comeback,fighter1,http://ufcstats.com/fight-details/f25d324841223f26,John Hathaway,The Hitman,Record: 17-2-0,"6' 1""",170 lbs.,"75""",Orthodox,"Jul 23, 1987",3.40,40%,1.80,62%,2.61,43%,60%,0.9,Rick Story,The Horror,Record: 19-9-0,"5' 9""",170 lbs.,"71""",Southpaw,"Aug 28, 1984",3.80,41%,2.17,62%,2.53,48%,63%,0.9
Mike Pierce,Brock Larson,UFC Fight Night: Diaz vs Guillard,fighter1,http://ufcstats.com/fight-details/0454bfbc49e95c16,Mike Pierce,,Record: 17-7-0,"5' 8""",170 lbs.,"71""",Orthodox,"Sep 01, 1980",2.62,42%,2.36,62%,3.08,42%,71%,0.2,Brock Larson,,Record: 42-10-0,"5' 11""",170 lbs.,"71""",Southpaw,"Aug 23, 1977",1.39,46%,1.50,55%,2.67,34%,43%,2.0
TJ Grant,Kevin Burns,UFC 107: Penn vs Sanchez,fighter1,http://ufcstats.com/fight-details/7e50ae4dbdd380a1,TJ Grant,,Record: 21-5-0,"5' 10""",155 lbs.,"72""",Orthodox,"Feb 26, 1984",3.95,54%,3.21,56%,1.63,43%,36%,0.6,Kevin Burns,The Fire,Record: 12-7-0,"5' 10""",170 lbs.,"74""",Orthodox,"Mar 03, 1980",2.74,38%,4.30,52%,0.28,50%,47%,0.8
Stefan Struve,Chase Gormley,UFC 104: Machida vs Shogun,fighter1,http://ufcstats.com/fight-details/1298d89922befa8c,Stefan Struve,Skyscraper,Record: 33-13-0,"6' 11""",265 lbs.,"84""",Orthodox,"Feb 18, 1988",3.12,47%,4.04,46%,0.56,46%,55%,1.7,Chase Gormley,,Record: 14-6-0 (1 NC),"6' 3""",265 lbs.,--,Orthodox,--,3.60,42%,6.03,44%,3.12,42%,0%,1.0
Rousimar Palhares,Lucio Linhares,UFC 107: Penn vs Sanchez,fighter1,http://ufcstats.com/fight-details/a7c63a2b33049ace,Rousimar Palhares,Toquinho,Record: 19-8-0,"5' 8""",170 lbs.,"71""",Orthodox,"Feb 26, 1980",1.75,51%,2.04,59%,3.93,45%,0%,4.1,Lucio Linhares,,Record: 19-8-0,"6' 2""",185 lbs.,--,Orthodox,"Dec 08, 1973",0.99,22%,3.47,34%,1.86,50%,50%,1.9
Ryan Jensen,Steve Steinbeiss,UFC Fight Night: Diaz vs Guillard,fighter1,http://ufcstats.com/fight-details/d6e75e0238d3ad9b,Ryan Jensen,,Record: 21-8-0,"6' 1""",185 lbs.,"76""",Orthodox,"Sep 20, 1977",2.84,39%,2.99,59%,1.55,50%,31%,1.9,Steve Steinbeiss,The Hooligan,Record: 9-4-0,"6' 3""",185 lbs.,"75""",Orthodox,"May 05, 1981",3.92,55%,1.86,49%,0.44,50%,58%,0.0
DaMarques Johnson,Edgar Garcia,UFC 107: Penn vs Sanchez,fighter1,http://ufcstats.com/fight-details/483d934c46351c78,DaMarques Johnson,Darkness,Record: 15-15-0,"6' 1""",170 lbs.,"75""",Orthodox,"Jun 28, 1982",2.11,37%,3.75,51%,1.18,55%,19%,0.7,Edgar Garcia,,Record: 14-5-0,"5' 10""",170 lbs.,"71""",Orthodox,"Feb 22, 1984",3.16,29%,4.23,60%,2.21,57%,50%,0.6
Nick Catone,Jesse Forbes,UFC Fight Night: Maynard vs Diaz,fighter1,http://ufcstats.com/fight-details/f338da998c4fdf53,Nick Catone,The Jersey Devil,Record: 10-4-0,"6' 0""",185 lbs.,"72""",Southpaw,"Sep 01, 1981",2.11,44%,2.32,63%,3.71,44%,83%,0.5,Jesse Forbes,Kid Hercules,Record: 15-5-0,"6' 2""",185 lbs.,"75""",Southpaw,"Oct 24, 1984",2.11,24%,4.06,53%,1.79,75%,66%,1.2
Johny Hendricks,Ricardo Funch,UFC 107: Penn vs Sanchez,fighter1,http://ufcstats.com/fight-details/afd5e85676eb697d,Johny Hendricks,Bigg Rigg,Record: 18-8-0,"5' 9""",185 lbs.,"69""",Southpaw,"Sep 12, 1983",3.49,45%,3.99,53%,3.83,46%,63%,0.3,Ricardo Funch,Golden Boy,Record: 9-6-0,"5' 10""",170 lbs.,"74""",Southpaw,"Aug 14, 1980",2.61,65%,3.57,40%,1.24,18%,60%,0.0
Gerald Harris,John Salter,UFC Fight Night: Maynard vs Diaz,fighter1,http://ufcstats.com/fight-details/db620510bbb3f0af,Gerald Harris,,Record: 23-5-0,"5' 11""",185 lbs.,"77""",Southpaw,"Nov 19, 1979",1.41,29%,1.58,62%,2.96,54%,72%,0.0,John Salter,,Record: 14-3-0,"6' 1""",185 lbs.,"74""",Southpaw,"Mar 21, 1985",1.68,32%,1.68,68%,2.85,46%,66%,0.5
Mark Bocek,Joe Brammer,The Ultimate Fighter: Heavyweights Finale,fighter1,http://ufcstats.com/fight-details/7f0e469103ab46b6,Mark Bocek,,Record: 12-5-0,"5' 8""",155 lbs.,"75""",Orthodox,"Oct 24, 1981",2.34,43%,2.32,60%,3.65,36%,31%,1.3,Joe Brammer,The South Side Strangler,Record: 7-3-1,"5' 8""",155 lbs.,--,Orthodox,"Aug 23, 1983",2.15,31%,2.80,56%,0.81,50%,50%,0.0
Rafael Dos Anjos,Kyle Bradley,UFC Fight Night: Maynard vs Diaz,fighter1,http://ufcstats.com/fight-details/c4fa93a4f37a6ca7,Rafael Dos Anjos,,Record: 32-17-0,"5' 8""",170 lbs.,"70""",Southpaw,"Oct 26, 1984",3.48,47%,3.23,60%,1.95,35%,54%,0.6,Kyle Bradley,,Record: 19-12-0 (1 NC),"5' 9""",155 lbs.,"71""",Orthodox,"Aug 19, 1982",1.99,40%,3.45,58%,0.65,50%,40%,0.0
Thiago Tavares,Nik Lentz,UFC Fight Night: Maynard vs Diaz,,http://ufcstats.com/fight-details/bad1f36202e2c7d7,Thiago Tavares,,Record: 21-7-1,"5' 7""",145 lbs.,"70""",Orthodox,"Nov 08, 1984",2.00,40%,2.31,62%,3.83,42%,62%,1.5,Nik Lentz,The Carny,Record: 30-12-2 (1 NC),"5' 8""",145 lbs.,"68""",Orthodox,"Aug 13, 1984",3.44,47%,3.25,50%,3.30,32%,43%,1.2
Amir Sadollah,Brad Blackburn,UFC Fight Night: Maynard vs Diaz,fighter1,http://ufcstats.com/fight-details/a570acbbcbbd151d,Amir Sadollah,,Record: 6-5-0,"5' 10""",170 lbs.,"75""",Orthodox,"Aug 27, 1980",4.71,46%,3.55,60%,0.57,27%,60%,0.3,Brad Blackburn,Bad Brad,Record: 18-13-1 (1 NC),"5' 10""",170 lbs.,"73""",Orthodox,"May 25, 1977",4.55,35%,3.59,65%,0.93,50%,76%,0.7
Aaron Simpson,Tom Lawlor,UFC Fight Night: Maynard vs Diaz,fighter1,http://ufcstats.com/fight-details/be72958d9715757d,Aaron Simpson,A-Train,Record: 12-5-0,"6' 0""",170 lbs.,"73""",Orthodox,"Jul 20, 1974",3.60,52%,2.53,56%,3.78,34%,83%,0.5,Tom Lawlor,Filthy,Record: 10-6-0 (1 NC),"6' 0""",205 lbs.,"74""",Southpaw,"May 15, 1983",2.50,42%,2.41,60%,2.46,32%,57%,1.4
Gray Maynard,Nate Diaz,UFC Fight Night: Maynard vs Diaz,fighter1,http://ufcstats.com/fight-details/5355fd4a2598f679,Gray Maynard,,Record: 13-7-1 (1 NC),"5' 9""",155 lbs.,"70""",Orthodox,"May 09, 1979",1.92,32%,2.64,66%,2.91,47%,81%,0.7,Nate Diaz,,Record: 22-13-0,"6' 0""",170 lbs.,"76""",Southpaw,"Apr 16, 1985",4.57,45%,3.77,52%,1.05,30%,41%,1.3
Evan Dunham,Efrain Escudero,UFC Fight Night: Maynard vs Diaz,fighter1,http://ufcstats.com/fight-details/504b540805598fa5,Evan Dunham,,Record: 18-9-1,"5' 10""",155 lbs.,"70""",Southpaw,"Dec 18, 1981",5.33,39%,3.54,61%,1.82,33%,79%,1.0,Efrain Escudero,Hecho En Mexico,Record: 28-12-0,"5' 9""",155 lbs.,"71""",Orthodox,"Jan 15, 1986",2.92,44%,2.30,63%,1.31,40%,66%,0.8
Rory MacDonald,Mike Guymon,UFC Fight Night: Maynard vs Diaz,fighter1,http://ufcstats.com/fight-details/19f615a7a5cfd304,Rory MacDonald,Red King,Record: 19-4-0,"6' 0""",170 lbs.,"76""",Orthodox,"Jul 22, 1989",3.75,42%,2.80,62%,1.77,47%,88%,0.4,Mike Guymon,The Joker,Record: 15-6-1,"6' 0""",170 lbs.,"74""",Orthodox,"Sep 17, 1974",2.75,65%,0.79,66%,1.87,37%,54%,1.2
Rick Story,Jesse Lennox,UFC Fight Night: Maynard vs Diaz,fighter1,http://ufcstats.com/fight-details/f4641db74fcb8ab7,Rick Story,The Horror,Record: 19-9-0,"5' 9""",170 lbs.,"71""",Southpaw,"Aug 28, 1984",3.80,41%,2.17,62%,2.53,48%,63%,0.9,Jesse Lennox,The Ox,Record: 14-4-0,"5' 9""",170 lbs.,"72""",Orthodox,"Mar 10, 1982",2.69,32%,3.20,64%,1.22,66%,63%,0.3
Chris Leben,Jay Silva,UFC Fight Night: Maynard vs Diaz,fighter1,http://ufcstats.com/fight-details/d5e0fd3eec76f7e1,Chris Leben,The Crippler,Record: 22-11-0,"5' 11""",185 lbs.,"73""",Southpaw,"Jul 21, 1980",2.87,42%,2.87,52%,1.14,41%,53%,0.8,Jay Silva,,Record: 10-11-1,"6' 2""",185 lbs.,--,Southpaw,--,1.13,34%,3.07,40%,0.00,0%,38%,1.0
Mark Munoz,Ryan Jensen,UFC 108: Evans vs Silva,fighter1,http://ufcstats.com/fight-details/0e05f54d8b66f317,Mark Munoz,The Filipino Wrecking Machine,Record: 14-6-0,"6' 0""",185 lbs.,"71""",Orthodox,"Feb 09, 1978",3.12,51%,2.26,57%,3.17,29%,57%,0.6,Ryan Jensen,,Record: 21-8-0,"6' 1""",185 lbs.,"76""",Orthodox,"Sep 20, 1977",2.84,39%,2.99,59%,1.55,50%,31%,1.9
Cole Miller,Dan Lauzon,UFC 108: Evans vs Silva,fighter1,http://ufcstats.com/fight-details/47245dd345d9ef7e,Cole Miller,Magrinho,Record: 21-11-0 (1 NC),"6' 1""",145 lbs.,"73""",Orthodox,"Apr 26, 1984",3.00,33%,3.88,59%,0.60,36%,38%,1.8,Dan Lauzon,The Upgrade,Record: 17-6-0,"5' 10""",155 lbs.,--,Orthodox,"Mar 30, 1988",1.34,25%,4.09,61%,1.63,33%,80%,2.7
Jim Miller,Duane Ludwig,UFC 108: Evans vs Silva,fighter1,http://ufcstats.com/fight-details/9d2c9d2249d4fe50,Jim Miller,A-10,Record: 38-18-0 (1 NC),"5' 8""",155 lbs.,"71""",Southpaw,"Aug 30, 1983",2.99,42%,3.51,56%,1.52,44%,49%,1.7,Duane Ludwig,Bang,Record: 21-14-0,"5' 10""",170 lbs.,"70""",Orthodox,"Aug 04, 1978",4.62,44%,3.05,57%,0.43,25%,59%,0.1
Junior Dos Santos,Gilbert Yvel,UFC 108: Evans vs Silva,fighter1,http://ufcstats.com/fight-details/41e9da89f349b2bc,Junior Dos Santos,Cigano,Record: 21-9-0,"6' 4""",238 lbs.,"77""",Orthodox,"Jan 30, 1984",4.49,47%,3.33,56%,0.30,50%,81%,0.1,Gilbert Yvel,The Hurricane,Record: 39-16-1 (1 NC),"6' 2""",225 lbs.,"77""",Orthodox,"Jun 30, 1976",1.05,47%,1.78,50%,0.00,0%,25%,1.0
Rafaello Oliveira,John Gunderson,UFC 108: Evans vs Silva,fighter1,http://ufcstats.com/fight-details/0949caefc6735f9b,Rafaello Oliveira,Tractor,Record: 17-8-0,"5' 8""",155 lbs.,"71""",Orthodox,"Jan 26, 1982",2.19,33%,3.38,59%,2.49,36%,11%,1.6,John Gunderson,Quick Guns,Record: 35-16-2,"5' 9""",155 lbs.,"69""",Orthodox,"Jan 05, 1979",1.04,27%,1.71,58%,1.67,33%,11%,2.0
Sam Stout,Joe Lauzon,UFC 108: Evans vs Silva,fighter1,http://ufcstats.com/fight-details/d7f9a09021a9a13c,Sam Stout,Hands of Stone,Record: 20-12-1,"5' 9""",155 lbs.,"70""",Orthodox,"Apr 23, 1984",4.17,28%,4.08,57%,0.63,38%,77%,0.1,Joe Lauzon,,Record: 28-16-0,"5' 10""",155 lbs.,"71""",Orthodox,"May 22, 1984",2.84,39%,5.39,54%,2.39,45%,54%,2.0
Martin Kampmann,Jacob Volkmann,UFC 108: Evans vs Silva,fighter1,http://ufcstats.com/fight-details/78b928a602a81971,Martin Kampmann,The Hitman,Record: 20-7-0,"6' 0""",170 lbs.,"72""",Orthodox,"Apr 17, 1982",3.22,42%,3.28,62%,1.86,41%,78%,2.0,Jacob Volkmann,Christmas,Record: 19-7-0,"5' 9""",155 lbs.,"71""",Southpaw,"Sep 05, 1980",1.19,34%,1.78,52%,3.19,48%,52%,2.0
Jake Ellenberger,Mike Pyle,UFC 108: Evans vs Silva,fighter1,http://ufcstats.com/fight-details/24e14c4824144c64,Jake Ellenberger,The Juggernaut,Record: 31-15-0,"5' 9""",170 lbs.,"71""",Orthodox,"Mar 28, 1985",2.47,39%,2.83,60%,2.04,47%,86%,0.4,Mike Pyle,Quicksand,Record: 27-14-1,"6' 0""",170 lbs.,"74""",Orthodox,"Sep 18, 1975",2.74,45%,2.84,60%,1.80,35%,70%,1.5
Rashad Evans,Thiago Silva,UFC 108: Evans vs Silva,fighter1,http://ufcstats.com/fight-details/57dca2ebe96ed622,Rashad Evans,Suga,Record: 19-8-1,"6' 0""",205 lbs.,"75""",Orthodox,"Sep 25, 1979",2.14,37%,2.42,63%,2.98,44%,73%,0.0,Thiago Silva,,Record: 19-6-0 (2 NC),"6' 2""",205 lbs.,"74""",Orthodox,"Nov 12, 1982",3.92,50%,2.55,67%,1.03,47%,70%,0.7
Paul Daley,Dustin Hazelett,UFC 108: Evans vs Silva,fighter1,http://ufcstats.com/fight-details/c99370e3e54bd5fd,Paul Daley,Semtex,Record: 39-15-2,"5' 9""",170 lbs.,"76""",Orthodox,"Feb 21, 1983",3.14,47%,2.37,60%,0.91,40%,64%,0.0,Dustin Hazelett,McLovin,Record: 12-7-0,"6' 1""",170 lbs.,"76""",Orthodox,"Apr 29, 1986",2.24,40%,3.51,46%,0.55,50%,25%,4.1
John Howard,Dennis Hallman,The Ultimate Fighter: Heavyweights Finale,fighter1,http://ufcstats.com/fight-details/0b0ba5238399545c,John Howard,Doomsday,Record: 24-13-0,"5' 7""",170 lbs.,"72""",Orthodox,"Mar 01, 1983",2.15,50%,3.08,51%,2.70,49%,53%,0.4,Dennis Hallman,Superman,Record: 53-20-2 (1 NC),"5' 9""",155 lbs.,"72""",Orthodox,"Dec 02, 1975",1.12,44%,1.96,43%,1.79,30%,25%,2.1
Jon Madsen,Justin Wren,The Ultimate Fighter: Heavyweights Finale,fighter1,http://ufcstats.com/fight-details/4182524382590e07,Jon Madsen,,Record: 8-2-0,"6' 0""",240 lbs.,"72""",Orthodox,"Feb 12, 1980",2.46,41%,1.18,81%,1.32,71%,70%,0.0,Justin Wren,The Viking,Record: 13-2-0,"6' 2""",265 lbs.,--,Orthodox,"Apr 27, 1987",3.43,35%,2.07,64%,0.00,0%,100%,0.0
Matt Mitrione,Marcus Jones,The Ultimate Fighter: Heavyweights Finale,fighter1,http://ufcstats.com/fight-details/f6246d2b9f663e33,Matt Mitrione,,Record: 12-5-0,"6' 3""",265 lbs.,"82""",Switch,"Jul 15, 1978",3.55,50%,2.79,64%,0.00,0%,55%,0.7,Marcus Jones,The Darkness,Record: 4-2-0,"6' 6""",265 lbs.,--,Orthodox,"Aug 15, 1973",1.94,52%,2.71,58%,8.71,75%,0%,2.9
James McSweeney,Darrill Schoonover,The Ultimate Fighter: Heavyweights Finale,fighter1,http://ufcstats.com/fight-details/f5affe923c640d0e,James McSweeney,The Hammer,Record: 15-15-0,"6' 4""",230 lbs.,"77""",Switch,"Oct 24, 1980",3.94,55%,4.33,42%,0.52,33%,100%,1.1,Darrill Schoonover,The Boss,Record: 14-8-0,"6' 2""",220 lbs.,--,Orthodox,"Jul 18, 1985",1.20,33%,4.35,38%,0.00,0%,50%,1.1
Frankie Edgar,Matt Veach,The Ultimate Fighter: Heavyweights Finale,fighter1,http://ufcstats.com/fight-details/5ab4bdec4db84f7d,Frankie Edgar,The Answer,Record: 23-11-1,"5' 6""",135 lbs.,"68""",Orthodox,"Oct 16, 1981",3.77,40%,2.82,65%,2.29,31%,65%,0.3,Matt Veach,,Record: 17-5-0,"5' 11""",155 lbs.,--,Orthodox,"May 31, 1981",1.12,28%,4.91,44%,3.64,38%,100%,1.5
Kevin Ferguson,Houston Alexander,The Ultimate Fighter: Heavyweights Finale,fighter1,http://ufcstats.com/fight-details/de2328aa13e5ecdc,Kevin Ferguson,Kimbo Slice,Record: 5-2-0 (1 NC),"6' 2""",235 lbs.,"77""",Orthodox,"Feb 08, 1974",2.30,50%,3.41,38%,3.10,72%,36%,1.2,Houston Alexander,The Assassin,Record: 17-15-1 (2 NC),"6' 0""",205 lbs.,"72""",Orthodox,"Mar 22, 1972",3.06,54%,3.20,52%,1.19,57%,33%,0.0
Alan Belcher,Wilson Gouveia,UFC 107: Penn vs Sanchez,fighter1,http://ufcstats.com/fight-details/7f9a1b6d83d08c42,Alan Belcher,The Talent,Record: 18-8-0,"6' 2""",185 lbs.,"75""",Orthodox,"Apr 24, 1984",2.70,41%,3.10,59%,0.44,26%,55%,0.9,Wilson Gouveia,,Record: 14-8-0,"6' 1""",185 lbs.,"76""",Orthodox,"Oct 03, 1978",3.02,39%,4.06,56%,0.90,66%,57%,2.2
Brian Stann,Rodney Wallace,The Ultimate Fighter: Heavyweights Finale,fighter1,http://ufcstats.com/fight-details/c32b24a24d946893,Brian Stann,All American,Record: 12-6-0,"6' 1""",205 lbs.,"74""",Orthodox,"Sep 24, 1980",3.28,42%,2.65,59%,0.12,12%,60%,0.3,Rodney Wallace,Shonuff the Master,Record: 26-15-1,"5' 9""",205 lbs.,"72""",Switch,"Nov 21, 1981",1.13,46%,3.44,45%,6.00,54%,28%,1.0
Matt Hamill,Jon Jones,The Ultimate Fighter: Heavyweights Finale,fighter1,http://ufcstats.com/fight-details/3f0826158f87f41d,Matt Hamill,The Hammer,Record: 12-8-0,"6' 1""",205 lbs.,"76""",Orthodox,"Oct 05, 1976",3.69,42%,3.80,61%,3.00,34%,91%,0.0,Jon Jones,Bones,Record: 28-1-0 (1 NC),"6' 4""",248 lbs.,"84""",Orthodox,"Jul 19, 1987",4.38,58%,2.24,64%,1.89,45%,95%,0.5
Stefan Struve,Paul Buentello,UFC 107: Penn vs Sanchez,fighter1,http://ufcstats.com/fight-details/a29236fcb395f443,Stefan Struve,Skyscraper,Record: 33-13-0,"6' 11""",265 lbs.,"84""",Orthodox,"Feb 18, 1988",3.12,47%,4.04,46%,0.56,46%,55%,1.7,Paul Buentello,The Headhunter,Record: 35-17-0,"6' 2""",245 lbs.,"77""",Orthodox,"Jan 16, 1974",3.29,45%,3.83,52%,0.19,33%,39%,0.4
Matt Wiman,Shane Nelson,UFC 107: Penn vs Sanchez,fighter1,http://ufcstats.com/fight-details/8e9f2b82a7b87778,Matt Wiman,,Record: 16-10-0,"5' 10""",155 lbs.,"68""",Orthodox,"Sep 19, 1983",3.17,50%,3.57,51%,2.13,37%,56%,1.5,Shane Nelson,Sugar,Record: 16-7-0,"5' 9""",155 lbs.,"70""",Southpaw,"Nov 29, 1984",1.38,31%,2.84,61%,1.31,18%,54%,1.6
Roy Nelson,Brendan Schaub,The Ultimate Fighter: Heavyweights Finale,fighter1,http://ufcstats.com/fight-details/e246b6a8cd7853de,Roy Nelson,Big Country,Record: 22-14-0,"6' 0""",263 lbs.,"73""",Orthodox,"Jun 20, 1976",2.18,36%,4.79,46%,1.14,27%,65%,0.1,Brendan Schaub,Big Brown,Record: 10-5-0,"6' 4""",245 lbs.,"78""",Orthodox,"Mar 18, 1983",2.92,37%,2.22,57%,2.32,46%,72%,0.4
Kenny Florian,Clay Guida,UFC 107: Penn vs Sanchez,fighter1,http://ufcstats.com/fight-details/9172138df0d70cb0,Kenny Florian,KenFlo,Record: 14-6-0,"5' 10""",145 lbs.,"74""",Southpaw,"May 26, 1976",2.41,40%,1.85,63%,2.22,33%,60%,1.3,Clay Guida,The Carpenter,Record: 38-22-0,"5' 7""",155 lbs.,"70""",Orthodox,"Dec 08, 1981",2.63,33%,3.00,61%,3.10,35%,66%,0.6
Jon Fitch,Mike Pierce,UFC 107: Penn vs Sanchez,fighter1,http://ufcstats.com/fight-details/ccac56928fc2b40b,Jon Fitch,,Record: 30-7-1 (1 NC),"6' 0""",170 lbs.,"74""",Orthodox,"Feb 24, 1978",2.61,50%,1.65,54%,3.60,51%,56%,0.8,Mike Pierce,,Record: 17-7-0,"5' 8""",170 lbs.,"71""",Orthodox,"Sep 01, 1980",2.62,42%,2.36,62%,3.08,42%,71%,0.2
Frank Mir,Cheick Kongo,UFC 107: Penn vs Sanchez,fighter1,http://ufcstats.com/fight-details/a9bc7915974b7d15,Frank Mir,,Record: 18-11-0,"6' 3""",264 lbs.,"79""",Southpaw,"May 24, 1979",2.18,47%,3.84,38%,2.02,40%,54%,2.0,Cheick Kongo,,Record: 27-10-2,"6' 4""",240 lbs.,"82""",Orthodox,"May 17, 1975",3.33,56%,1.28,54%,2.30,56%,52%,0.2
John Hathaway,Paul Taylor,UFC 105: Couture vs Vera,fighter1,http://ufcstats.com/fight-details/cb510afff3dafdab,John Hathaway,The Hitman,Record: 17-2-0,"6' 1""",170 lbs.,"75""",Orthodox,"Jul 23, 1987",3.40,40%,1.80,62%,2.61,43%,60%,0.9,Paul Taylor,Relentless,Record: 11-6-1 (1 NC),"6' 0""",155 lbs.,"72""",Orthodox,"Dec 15, 1979",4.44,47%,4.47,55%,0.27,25%,56%,0.5
Dennis Siver,Paul Kelly,UFC 105: Couture vs Vera,fighter1,http://ufcstats.com/fight-details/6c569785225fd2e7,Dennis Siver,,Record: 23-11-0 (1 NC),"5' 6""",145 lbs.,"70""",Orthodox,"Jan 13, 1979",3.87,32%,2.67,65%,0.87,32%,65%,0.3,Paul Kelly,,Record: 14-5-0,"5' 9""",155 lbs.,"70""",Orthodox,"Sep 12, 1984",3.22,37%,2.61,59%,1.34,60%,30%,1.5
